rep,gen,indType,indNum,quality,fitness,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
1,0,Sender,0,1,0,-0.0129768,-0.022635,-0.0647898,-0.651018,-0.522338,-0.910309,-0.763194,-0.431644,-0.888225,0.988216,0.5928,0.606715,0.224042,-0.525928,0.669946,0.63372,0.184016,-0.289426,0.909176,-0.309808,-0.281374,-0.537315,0.112087,-0.0388341,0.226562,0.0896472,-0.0179738,-0.789172,-0.295135,0.81196,-1.0773,-0.162801,0.487988,-0.997897,0.273636,-0.507923,0.303755,-0.719001,0.602407
1,0,Sender,1,1,0,-0.0190408,-0.0254534,-0.100258,-0.652458,-0.503287,-0.98382,-0.770028,-0.425821,-0.899721,0.988216,0.500572,0.607612,0.244085,-0.645874,0.723738,0.63908,0.21601,-0.149593,0.90726,-0.193405,-0.121347,-0.537315,0.102481,0.0107174,0.192599,0.0568748,-0.0179738,-0.515235,-0.00640986,0.7532,-0.883824,-0.167751,0.487988,-0.919343,0.320251,-0.592456,0.29356,-0.714086,0.58432
1,0,Sender,2,1,0,-0.0403762,-0.0205452,-0.0756043,-0.651018,-0.52571,-0.931279,-0.763194,-0.43812,-0.799616,1.00885,0.824685,0.604811,0.244085,-0.539581,0.661825,0.645593,0.184016,-0.159083,0.897649,-0.265479,-0.21743,-0.536372,0.0904501,0.0346457,0.215635,0.0855291,-0.0260383,-0.554856,-0.230373,0.920132,-0.883824,-0.168662,0.473416,-0.914259,0.318455,-0.509755,0.29356,-0.703278,0.58432
1,0,Sender,3,1,0,-0.021207,-0.0421103,-0.0869948,-0.626831,-0.518414,-0.896071,-0.763194,-0.440944,-0.882349,0.999549,0.606077,0.619942,0.240308,-0.536163,0.709692,0.63908,0.16982,-0.156945,0.910981,-0.0316414,-0.246617,-0.537315,0.102481,-0.0388341,0.212103,0.0550984,-0.0179738,-0.582888,-0.252572,0.927633,-0.883824,-0.156208,0.487988,-0.919343,0.223231,-0.39058,0.285068,-0.735258,0.58432
1,0,Sender,4,1,0,-0.0147121,-0.0504315,-0.095181,-0.588462,-0.518414,-0.896071,-0.763194,-0.444816,-0.886091,0.988216,0.617007,0.607252,0.240308,-0.536163,0.666708,0.633786,0.16982,-0.149135,0.909176,-0.0316414,-0.27298,-0.537315,0.102481,-0.0388341,0.212103,0.0550984,-0.0179738,-0.501851,-0.252572,0.927633,-0.883824,-0.156208,0.487988,-0.903919,0.216849,-0.429052,0.286294,-0.735258,0.58432
1,0,Sender,5,1,0,0.0116608,0.0177922,-0.0851234,-0.619883,-0.502132,-0.910309,-0.769873,-0.467291,-0.895263,1.03031,0.654892,0.607612,0.244085,-0.546545,0.630201,0.618015,0.216439,-0.149135,0.909697,-0.306989,-0.27298,-0.528392,0.102481,-0.0259247,0.214299,0.0633034,0.120551,-0.499484,-0.185274,0.875883,-0.883407,-0.156208,0.481525,-1.21522,0.318944,-0.509755,0.3241,-0.719001,0.58432
1,0,Sender,6,1,0,-0.00268943,-0.0365005,-0.0851234,-0.647604,-0.610068,-0.903191,-0.765065,-0.416236,-0.899251,1.00608,0.686912,0.607612,0.244085,-0.536163,0.670652,0.652207,0.193862,-0.156558,0.909176,-0.306989,-0.239184,-0.500442,0.114546,-0.0481468,0.212103,0.364272,-0.0408632,-0.499484,-0.21255,0.875883,-0.883824,-0.156208,0.492386,-0.917093,0.265967,-0.514574,0.00877352,-0.569091,0.58432
1,0,Sender,7,1,0,-0.136767,-0.0125538,-0.0851234,-0.644265,-0.464629,-0.947455,-0.763194,-0.425821,-0.892419,0.988216,0.617007,0.612695,0.247464,-0.536163,0.666111,0.63908,0.184016,-0.149135,0.909176,-0.321998,-0.27298,-0.536211,0.102481,-0.00363579,0.131413,0.0633034,0.112429,-0.499484,-0.271515,0.798048,-0.861601,-0.156208,0.487988,-0.921313,0.480131,-0.509755,0.29356,-0.733497,0.58432
1,0,Sender,8,1,0,-0.0221099,-0.0326903,-0.0827561,-0.651018,-0.521297,-0.910927,-0.763194,-0.425821,-0.895263,0.988216,0.617007,0.612376,0.284049,-1.80154,0.666111,0.63908,0.169905,-0.162076,0.909176,-0.303721,-0.298539,-0.537315,0.102481,-0.0541298,0.237287,0.0656397,0.112429,-0.499484,-0.257082,0.82127,-0.880215,-0.156208,0.487988,-0.921576,0.320251,-0.520341,0.29356,-0.709933,0.491997
1,0,Sender,9,1,0,-0.0116451,-0.022635,-0.0750948,-0.626415,-0.534309,-0.949697,-0.760744,-0.425821,-0.926253,0.992141,0.603097,1.38565,0.233458,-0.536163,0.666111,0.63908,0.191493,-0.106252,0.919904,-0.315766,-0.27298,-0.537315,0.0816619,-0.0259247,0.212103,-0.0727913,-0.0109324,-0.499484,-0.188911,0.876228,-0.883824,-0.304295,0.496827,-0.958621,0.308097,-0.509755,0.267219,-0.73286,0.586278
1,0,Sender,10,1,0,-0.00745471,-0.0193439,-0.0775495,-0.436972,-0.52571,-0.958762,-0.763194,-0.429419,-0.895263,0.988216,0.617007,0.607612,0.249666,-0.536163,0.666111,0.635748,0.191737,-0.149135,0.909176,-0.266992,-0.284051,-0.543444,0.0967556,0.0016604,0.26067,0.0866907,-0.0282197,-0.499484,-0.438478,0.875883,-0.95381,-0.156208,0.450782,-0.847912,0.320251,-0.509755,0.373643,-0.689421,0.580786
1,0,Sender,11,1,0,-0.0129768,0.0936252,-0.0649736,-0.626831,-0.518414,-0.896071,-0.763194,-0.436536,-0.898575,0.988216,0.617007,0.586262,0.244085,-0.536163,0.671067,0.66994,0.16982,-0.161821,0.867393,-0.0195522,-0.27298,-0.537315,0.102481,-0.00574502,0.212103,0.0607635,-0.0179738,-0.492475,-0.262384,0.927633,-0.897723,-0.156208,0.487988,-0.919343,0.273636,-0.429052,0.29356,-0.724734,0.58432
1,0,Sender,12,1,0,-0.0129768,-0.0259368,-0.0851234,-0.651018,-0.498062,-0.910309,-0.760073,-0.425821,-0.895263,0.989849,0.583847,0.566829,0.241046,-0.536163,0.666326,0.640206,0.184016,-0.25374,0.901788,-0.356242,-0.27298,-0.543525,0.102481,-0.0259247,0.214181,0.0633034,0.111208,-0.417743,-0.234589,0.925889,-0.883824,-0.125198,0.487988,-0.94592,0.324469,-0.509755,0.277675,-0.716896,0.58361
1,0,Sender,13,1,0,-0.00555616,-0.0841693,-0.0851234,-0.651018,-0.516801,-0.907824,-0.766659,-0.487912,-0.895263,0.988216,0.617007,0.607612,0.260414,-0.633912,0.720981,0.643902,0.155985,-0.149135,0.919904,-0.306989,-0.263045,-0.532846,0.0974361,-0.0110285,0.256964,0.0633034,-0.0179738,-0.483644,-0.244898,0.87323,-0.908332,-0.167837,0.487988,-0.947656,0.324305,-0.509755,0.295621,-0.719001,0.572297
1,0,Sender,14,1,0,-0.00558614,-0.0359917,-0.0748525,-0.653491,-0.52571,-0.910309,-0.763194,-0.436439,-0.895488,0.988216,0.611847,0.597283,0.244085,-0.536163,0.666111,0.641797,0.184941,-0.155917,0.909176,-0.261574,-0.27298,-0.537315,0.156559,-0.102793,0.212103,0.0633034,-0.0282197,-0.391299,-0.240474,0.875883,-0.954261,-0.156208,0.467789,-1.06095,0.320251,-0.509755,0.29872,-0.719001,0.58432
1,0,Sender,15,1,0,0.0362834,-0.0499638,-0.0851234,-0.651018,-0.48893,-0.910309,-0.787724,-0.457759,-0.894057,0.988216,0.571794,0.615607,0.206347,-0.536163,0.666111,0.63908,0.18308,-0.1508,0.905624,-0.450618,-0.301408,-0.537315,0.102481,-0.0481858,0.212103,0.0212778,0.0692602,-0.539555,-0.244898,0.881954,-0.902049,-0.156208,0.365926,-0.919343,0.388278,-0.530113,0.277082,-0.719001,0.52837
1,0,Sender,16,1,0,-0.0129768,-0.022635,-0.0851234,-0.657795,-0.52571,-0.910309,-0.77216,-0.417991,-0.562564,0.988216,0.617007,0.607612,0.257259,-0.536705,0.666111,0.635669,0.120276,-0.149135,0.921945,-0.305303,-0.0152749,-0.536058,0.106454,-0.0259247,0.194093,0.0633034,-0.0155357,-0.507547,-0.240591,0.891911,-0.887978,-0.123337,0.510062,-0.906137,0.198692,-0.509755,0.29356,-0.739948,0.58256
1,0,Sender,17,1,0,-0.00558614,-0.0359917,-0.0748525,-0.648324,-0.52571,-0.910309,-0.763194,-0.436439,-0.895488,0.988216,0.611847,0.607612,0.244085,-0.557331,0.666111,0.641797,0.184016,-0.155917,0.909176,-0.261574,-0.27298,-0.537315,0.156559,-0.102793,0.212103,0.0633034,-0.0282197,-0.391299,-0.240474,0.875883,-0.984258,-0.156208,0.467789,-1.06396,0.320251,-0.509755,0.29872,-0.719001,0.585788
1,0,Sender,18,1,0,0.0206645,-0.0499638,-0.0851234,-0.651018,-0.48893,-0.910309,-0.800528,-0.425821,-0.894057,1.04857,0.579315,0.615607,0.206347,-0.558398,0.666111,0.640737,0.18308,-0.1508,0.905624,-0.450618,-0.280357,-0.537315,0.102481,-0.0485698,0.212103,0.0212778,0.0900027,-0.539555,-0.244898,0.881954,-0.902049,-0.156208,0.613637,-0.919343,0.388278,-0.528691,0.29356,-0.687506,0.58432
1,0,Sender,19,1,0,-0.0129768,0.0110229,-0.0653091,-0.651018,-0.498124,-0.910168,-0.759812,-0.41182,1.46537,0.988216,0.617007,0.607612,0.244085,-0.533019,0.619212,0.63908,0.180537,-0.149135,0.903376,-0.308202,-0.289719,-0.546218,0.112492,-0.0327848,0.212103,0.57351,0.120551,-0.496859,-0.272496,0.875883,-0.879717,-0.156208,0.499867,-1.23693,0.320251,-0.509755,0.305561,-0.709592,0.530702
1,0,Sender,20,1,0,-0.00268943,-0.0365005,-0.0851234,-0.647604,-0.610068,-0.910309,-0.765065,-0.416236,-0.899251,1.00608,0.686912,0.607612,0.244085,-0.536163,0.670652,0.63908,0.244181,-0.156558,0.909176,-0.306989,-0.27298,-0.539629,0.114546,-0.0481468,0.212103,0.364272,-0.0408632,-0.499484,-0.21255,0.875883,-0.886436,-0.156208,0.492386,-0.922715,0.265967,-0.514574,0.00877352,-0.59591,0.58432
1,0,Sender,21,1,0,-0.0116451,-0.022635,-0.0750948,-0.626415,-0.534309,-0.949697,-0.760744,-0.437598,-0.926253,0.992141,0.603097,1.38565,0.233458,-0.536163,0.666111,0.63908,0.191493,-0.106252,0.919904,-0.315766,-0.27298,-0.537315,0.0952826,-0.0259247,0.212103,-0.0727913,-0.0109324,-0.499484,-0.188911,0.876228,-0.883824,-0.304295,0.496827,-0.958621,0.308097,-0.509755,0.267219,-0.73286,0.586278
1,0,Sender,22,1,0,-0.0129768,-0.0259368,-0.0851234,-0.651018,-0.484092,-0.900838,-0.760073,-0.352323,-0.895263,0.869516,0.583847,0.607612,0.241046,-0.536163,0.666326,0.640206,0.184016,-0.149135,0.895309,-0.335106,-0.27298,-0.53773,0.102481,-0.0259247,0.212103,0.0633034,0.111208,-0.417743,-0.242871,0.924047,-0.883824,-0.113945,0.487988,-0.94592,0.265733,-0.509755,0.277675,-0.716896,0.58432
