"X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38"
-6.55998,-0.0575213,0.380563,-99.578,-99.0704,-3.49025,1.48496,-0.34065,-95.865,77.2848,-2.01489,21.3039,94.6944,6.65933,-6.99317,-71.9072,3.71572,-2.01741,2.17554,1.50474,-46.8819,-55.1261,15.6865,97.6697,21.7235,-25.3945,-21.479,31.2452,99.7891,56.7867,-89.5518,10.8514,11.044,99.2275,41.3283,-63.4081,-26.5684,42.7298,-98.946
-6.30766,-0.0601885,0.401475,-99.5725,-99.209,-3.47338,1.47953,-0.400055,-95.8341,77.2958,-1.84092,21.3594,94.6234,6.88514,-6.99802,-71.8886,3.23124,-1.99824,2.22173,1.35029,-46.8652,-55.14,16.2191,97.6377,21.7739,-25.863,-21.5403,31.245,99.8333,56.7852,-89.5479,13.3088,10.9843,99.1914,41.3758,-63.4377,-26.2336,42.5,-98.775
-6.30206,-0.0485597,0.29653,-98.8969,-99.1391,-3.50495,1.54002,-0.453932,-95.6717,75.599,-1.79863,21.2427,94.5018,6.51364,-6.94711,-71.9306,3.31208,-2.00109,2.20946,1.15284,-46.8115,-55.2598,15.7431,97.6528,21.4393,-25.7796,-21.2737,31.3937,99.8091,56.7828,-89.4959,13.4373,11.015,99.2614,41.3133,-62.709,-26.139,42.5641,-98.5759
-6.30766,-0.0601885,0.401475,-99.6299,-99.1479,-3.54983,1.58862,-0.418938,-95.8324,77.2791,-1.97972,21.3545,94.6234,6.65984,-7.00977,-71.8949,3.23096,-1.99824,2.22325,1.3579,-46.8574,-55.14,15.8956,97.6369,21.832,-25.9555,-21.5403,31.2637,99.7221,56.7869,-89.5355,13.3556,10.9843,99.1912,41.3536,-63.4377,-26.2336,42.5621,-98.774
-6.30206,-0.0767881,0.29653,-98.8954,-99.166,-3.48707,1.50915,-0.294846,-95.6717,75.5427,-1.78519,21.2236,94.1737,6.53183,-6.94711,-71.9281,3.24492,-2.00004,2.19227,1.13079,-46.8067,-55.2598,15.87,97.6711,21.4455,-25.7796,-21.2818,31.5493,99.7757,56.7828,-89.4945,13.4307,11.0193,99.2614,41.3309,-62.7102,-26.1437,42.571,-98.5759
-6.28701,-0.0617698,0.401475,-99.5532,-99.1479,-3.47338,1.51709,-0.431759,-95.8341,77.3291,-1.97972,21.3594,94.6234,6.86471,-6.98821,-71.8886,3.21203,-2.0004,2.22173,1.35029,-46.8652,-55.155,15.8987,97.6418,21.7702,-25.863,-21.8987,31.2557,99.8333,56.7852,-89.5332,13.3586,10.9356,99.1914,41.3528,-63.4377,-26.048,42.5621,-98.775
-6.34302,-0.0598961,0.391431,-99.6334,-99.0886,-3.50313,1.48777,-0.34065,-95.8651,77.2915,-2.02186,21.3406,94.6911,6.66525,-7.01533,-71.8923,3.27398,-1.96231,2.20851,1.50474,-46.8893,-55.0828,15.6373,97.6522,21.7434,-25.3885,-17.0097,31.2452,99.7678,56.7814,-89.5283,13.4761,11.0801,99.2275,41.3742,-63.4334,-26.273,42.5843,-98.8352
-6.3627,-0.0675874,0.370227,-99.5979,-99.0635,-3.55121,1.48496,-0.34065,-95.8694,77.1997,-2.00179,21.3724,94.7596,6.66525,-6.99916,-71.8706,3.23062,-1.93153,2.20655,1.53659,-46.808,-55.1805,15.6927,97.6301,21.7432,-25.4129,-21.5195,31.2452,99.7822,56.7902,-89.5563,13.4342,11.098,99.3573,41.3347,-63.4648,-26.2754,42.5933,-98.8856
-6.34302,-0.0575213,0.380563,-99.578,-99.0695,-3.49525,1.48496,-0.5029,-95.8379,77.2848,-2.0168,21.3039,94.6944,6.65933,-6.9845,-71.9072,3.2912,-2.01741,2.15716,1.49882,-46.8819,-55.1261,15.6865,97.6697,21.7362,-25.3945,-21.5056,31.2452,99.7891,56.7927,-89.5518,10.9149,11.044,99.2275,41.3283,-63.3976,-26.5559,42.7298,-98.938
-6.31719,-0.0754584,0.380563,-99.5692,-99.0716,-3.50313,1.48695,-0.316307,-95.8656,77.2848,-2.01489,21.2036,94.6928,6.66041,-6.99317,-71.9036,3.28813,-2.01741,2.21291,1.50474,-46.8837,-55.1424,15.6865,97.6363,21.7536,-25.3927,-21.5056,31.2566,99.7634,56.7879,-89.5554,10.913,11.077,99.2193,41.3249,-63.4047,-26.5917,42.7746,-98.9383
-6.34208,-0.0667458,0.401419,-99.5928,-99.0621,-3.42884,1.48496,-0.326718,-95.8656,77.3858,-2.01489,21.3237,94.867,6.63941,-7.1603,-71.9075,3.26343,-2.05407,2.25637,1.53035,-46.8187,-55.0502,15.7011,97.6639,21.6362,-25.4006,-21.1913,31.2443,99.6911,56.7879,-89.632,13.3622,11.0558,99.2376,41.3307,-63.4088,-26.1672,42.5933,-98.8328
-6.34302,-0.0588308,0.388814,-88.1091,-99.0716,-3.42884,1.49901,-0.334911,-95.8656,77.3825,-1.97325,21.3237,94.7381,6.63931,-6.9221,-71.9072,3.26343,-2.05407,2.30949,1.53561,-46.8644,-55.1464,15.7011,97.6311,21.7059,-25.4006,-21.1595,31.4986,99.7047,56.7879,-89.5939,13.3002,11.0558,99.2111,41.3516,-63.4089,-25.9358,42.6104,-98.8328
-6.28926,-0.0472697,0.378057,-99.6156,-99.1298,-3.50313,1.49538,-0.373162,-95.8592,77.2957,-2.20882,21.3218,94.6955,6.68123,-6.99317,-71.9072,3.28239,-2.00958,2.21157,1.40948,-46.8522,-55.1464,15.8609,97.6473,21.7621,-25.3847,-21.5056,31.2452,99.762,56.7881,-89.5268,13.4324,11.1513,99.2596,41.3691,-63.4352,-26.2569,42.5832,-98.8403
-6.30206,-0.0485597,0.29653,-98.8969,-99.1391,-3.50495,1.54002,-0.453932,-95.6717,75.599,-1.79863,21.2427,94.5018,6.51364,-6.94711,-71.9306,3.31208,-2.00109,2.20946,1.15284,-46.8115,-55.2598,15.7431,97.6528,21.4393,-25.7796,-21.2737,31.3937,99.8091,56.7828,-89.4959,13.4373,11.015,99.2614,41.3133,-62.709,-26.139,42.5641,-98.5759
-6.34302,-0.0575213,0.380563,-99.578,-99.0624,-3.49525,1.48496,-0.5029,-95.8379,77.2848,-2.0168,21.3039,94.6944,6.65933,-6.9845,-71.9072,3.2912,-2.01741,2.15716,1.49882,-46.8819,-55.1261,15.6865,97.6697,21.7362,-25.3945,-21.5056,31.2452,99.7891,56.7927,-89.5518,10.9149,11.044,99.2275,41.3283,-63.3976,-26.5559,42.7298,-98.938
